ID,Epic,User Story,Acceptance Criteria,Priority,Sprint,Status
US-101,Store Migration,"As a store administrator, I want all existing product catalog data migrated to WooCommerce, so that customers see no disruption in product availability.","Given the legacy product database, when migration runs, then all SKUs, prices, images, and categories appear correctly in WooCommerce with zero data loss.",High,Sprint 1,Done
US-102,Store Migration,"As a store administrator, I want existing customer accounts and order history migrated, so that returning customers retain their purchase history.","Given existing customer records, when migration completes, then customers can log in with existing credentials and view past orders.",High,Sprint 1,Done
US-103,Checkout Experience,"As a customer, I want a single-page checkout, so that I can complete my purchase quickly without multiple page loads.","Given items in cart, when customer proceeds to checkout, then shipping, billing, and payment are presented on one page with inline validation.",High,Sprint 2,In Progress
US-104,Checkout Experience,"As a customer, I want to save multiple payment methods, so that I can check out faster on future visits.","Given a logged-in customer, when they complete a purchase, then they are prompted to save the payment method for future use.",Medium,Sprint 3,To Do
US-105,Content Management,"As a marketing team member, I want a reusable page-builder template library, so that I can publish landing pages without developer support.","Given the WordPress page builder, when a template is selected, then the page renders correctly across desktop and mobile without code changes.",High,Sprint 2,In Progress
US-106,Content Management,"As an editor, I want scheduled publishing for blog content, so that posts go live automatically at planned times.","Given a draft post with a scheduled date, when that date/time arrives, then the post publishes automatically without manual action.",Medium,Sprint 3,To Do
US-107,Performance,"As a site visitor, I want pages to load in under 3 seconds, so that I have a smooth browsing experience.","Given any storefront page, when tested via PageSpeed Insights, then load time is under 3 seconds on mobile and desktop.",High,Sprint 2,In Progress
US-108,Performance,"As a site administrator, I want image assets automatically compressed on upload, so that page weight stays low without manual optimization.","Given an image upload, when the file is saved, then it is automatically compressed to a target file size without visible quality loss.",Medium,Sprint 4,To Do
US-109,SEO & Analytics,"As a marketing manager, I want structured data (schema markup) on product pages, so that products appear with rich snippets in search results.","Given a published product page, when checked with Google's Rich Results Test, then valid schema markup is detected.",Medium,Sprint 4,To Do
US-110,SEO & Analytics,"As a marketing manager, I want a GA4 and Google Search Console integration, so that I can track traffic and conversions post-launch.","Given the live site, when GA4 and Search Console are connected, then traffic and conversion data populate within 24 hours.",High,Sprint 1,Done
US-111,Third-Party Integrations,"As a store administrator, I want the CRM connected to the storefront, so that new customer sign-ups sync automatically.","Given a new customer registration, when the form is submitted, then the customer record appears in the CRM within 5 minutes.",Medium,Sprint 3,To Do
US-112,Third-Party Integrations,"As a finance team member, I want order data synced to the accounting system, so that invoices are generated without manual entry.","Given a completed order, when payment is confirmed, then an invoice record is created in the accounting system automatically.",High,Sprint 4,To Do
US-113,UAT & Quality,"As a QA lead, I want a documented UAT test plan covering checkout, migration, and content workflows, so that critical issues are caught before go-live.","Given the UAT test plan, when executed against staging, then all high-priority test cases pass with zero critical defects open.",High,Sprint 5,To Do
US-114,Launch Readiness,"As a project sponsor, I want a go-live checklist covering DNS, backups, and rollback plan, so that launch risk is minimized.","Given the go-live checklist, when reviewed by the project team, then all items are signed off before DNS cutover.",High,Sprint 5,To Do
